"施設種別","地区","保育園名","0歳","1歳","2歳","3歳","4歳","5歳"
"港区保育室","高輪","志田町保育室","40","40","38","非公開","非公開","―"
"港区保育室","高輪","白金三丁目保育室","非公開","非公開","非公開","非公開","―","―"
"港区保育室","高輪","三光保育室","非公開","22以下","―","―","―","―"
"港区保育室","芝浦港南","たまち保育室","40","40","非公開","―","38","―"
"港区保育室","芝浦港南","芝浦橋保育室","31","22以下","40","―","―","―"
"港区保育室","芝浦港南","港南四丁目保育室","非公開","非公開","―",,,
"港区保育室","芝浦港南","五色橋保育室","32","22以下","―","非公開","非公開","―"
"小規模保育事業","芝","正光寺保育園赤羽橋園","非公開","―","―",,,
"小規模保育事業","芝","こころナーサリー新橋","非公開","非公開","―",,,
"小規模保育事業","芝","ふらわぁきっず保育園新橋","―","―","―",,,
"小規模保育事業","麻布","デイジー保育園麻布十番","40","非公開","―",,,
"小規模保育事業","麻布","デイジー保育園麻布十番フォレスト","非公開","―","―",,,
"小規模保育事業","麻布","ここいく保育園西麻布","非公開","非公開","―",,,
"小規模保育事業","赤坂","ウィズブック保育園赤坂","―","―","―",,,
"小規模保育事業","赤坂","sakura保育園","―","―","―",,,
"小規模保育事業","高輪","ふらわぁきっず保育園三田","―","非公開","―",,,
"小規模保育事業","高輪","ちゃいるど・はっぴっぴ!!白金保育園","―","非公開","―",,,
"小規模保育事業","芝浦港南","港南あおぞら保育園","―","非公開","―",,,
"小規模保育事業","芝浦港南","にじのそら保育園芝浦","―","38","非公開",,,

"令和3年4月入所1次利用調整における入所者最低指数","Ver202104",,,,,,,
